iter	Passed	Remaining
401	19836	28323
402	19882	28269
403	19928	28216
404	19974	28161
405	20022	28109
406	20069	28057
407	20121	28012
408	20169	27960
409	20218	27912
410	20274	27870
411	20323	27821
412	20368	27765
413	20424	27726
414	20470	27671
415	20515	27616
416	20561	27563
417	20607	27509
418	20658	27462
419	20702	27406
420	20760	27368
421	20808	27317
422	20857	27267
423	20927	27245
424	20995	27219
425	21053	27182
426	21099	27128
427	21151	27082
428	21200	27031
429	21247	26978
430	21291	26923
431	21337	26869
432	21387	26820
433	21435	26770
434	21482	26717
435	21528	26663
436	21578	26614
437	21643	26584
438	21687	26529
439	21738	26480
440	21780	26423
441	21824	26366
442	21872	26315
443	21916	26260
444	21960	26204
445	22018	26165
446	22068	26116
447	22115	26064
448	22165	26015
449	22212	25963
450	22260	25912
451	22303	25856
452	22355	25809
453	22400	25756
454	22448	25704
455	22492	25649
456	22538	25595
457	22583	25542
458	22632	25492
459	22680	25441
460	22730	25392
461	22776	25339
462	22822	25287
463	22869	25235
464	22916	25183
465	22966	25134
466	23010	25080
467	23059	25029
468	23105	24977
469	23162	24936
470	23208	24884
471	23254	24831
472	23304	24782
473	23352	24731
474	23399	24680
475	23446	24629
476	23491	24575
477	23538	24522
478	23588	24474
479	23646	24435
480	23701	24390
481	23754	24345
482	23802	24294
483	23848	24242
484	23900	24195
485	23945	24142
486	23992	24090
487	24038	24038
488	24090	23992
489	24134	23937
490	24185	23890
491	24236	23842
492	24281	23789
493	24326	23736
494	24375	23685
495	24421	23633
496	24470	23584
497	24517	23533
498	24568	23484
499	24616	23434
500	24661	23381
501	24718	23339
502	24766	23289
503	24813	23237
504	24856	23182
505	24903	23131
506	24955	23085
507	25000	23032
508	25061	22993
509	25106	22940
510	25152	22888
511	25207	22843
512	25249	22788
513	25302	22742
514	25349	22691
515	25393	22637
516	25439	22585
517	25489	22537
518	25535	22485
519	25581	22432
520	25628	22382
521	25675	22330
522	25727	22284
523	25771	22230
524	25818	22179
525	25867	22129
526	25917	22081
527	25965	22031
528	26016	21983
529	26064	21933
530	26109	21880
531	26157	21830
532	26206	21781
533	26251	21728
534	26297	21676
535	26344	21626
536	26392	21575
537	26437	21523
538	26488	21475
539	26543	21431
540	26590	21380
541	26638	21330
542	26684	21278
543	26739	21234
544	26788	21185
545	26835	21134
546	26879	21081
547	26924	21028
548	26971	20978
549	27022	20930
550	27069	20879
551	27118	20830
552	27176	20787
553	27233	20744
554	27282	20695
555	27329	20644
556	27380	20597
557	27429	20547
558	27475	20495
559	27534	20454
560	27581	20403
561	27632	20355
562	27679	20305
563	27729	20256
564	27797	20220
565	27846	20171
566	27895	20122
567	27946	20074
568	27995	20025
569	28046	19977
570	28094	19926
571	28143	19877
572	28189	19826
573	28241	19778
574	28285	19726
575	28336	19677
576	28384	19627
577	28437	19581
578	28486	19531
579	28532	19480
580	28586	19434
581	28636	19386
582	28684	19336
583	28736	19289
584	28782	19237
585	28844	19197
586	28892	19147
587	28944	19099
588	28991	19048
589	29042	19000
590	29090	18950
